lnN lnDN
1.151292546497022862e+01 6.269096283706261374e+00
1.150763147650911833e+01 6.253828811575472990e+00
1.150239016305484618e+01 6.163314804034641270e+00
1.149757829735614756e+01 6.204557762568690293e+00
1.149253906731328456e+01 6.137727054086234091e+00
1.148780250979576856e+01 6.122492809514386458e+00
1.148311553119780015e+01 6.177944114050600177e+00
1.147813731348451149e+01 6.175867270105761087e+00
1.147314459495838435e+01 6.163314804034641270e+00
1.146818957112883730e+01 6.234410725718371182e+00
1.146284196480224082e+01 6.084499413075171503e+00
1.145821581516470111e+01 6.120297418950950252e+00
1.145339836565557512e+01 6.182084906716632133e+00
1.144824826755087877e+01 6.100318952020064245e+00
1.144347891916007143e+01 6.095824562432224702e+00
1.143870825608116171e+01 6.167516490888341529e+00
1.143355752958665583e+01 6.148468295917647097e+00
1.142847807089260925e+01 6.082218910376446352e+00
1.142370073122180507e+01 6.154858094016417702e+00
1.141853785946333311e+01 6.122492809514386458e+00
1.141351388591481353e+01 6.052089168924417173e+00
1.140880862007765906e+01 6.192362489474872334e+00
1.140336726245070231e+01 6.122492809514386458e+00
1.139826629496085886e+01 6.059123195581796573e+00
1.139345475599403912e+01 5.983936280687190745e+00
1.138897092469501082e+01 6.150602768446279178e+00
1.138364786925225580e+01 6.068425588244110713e+00
1.137871955919856504e+01 6.054439346269370859e+00
1.137383579656827415e+01 6.079933195095589937e+00
1.136880102070606213e+01 6.061456918928016968e+00
1.136383363422764958e+01 6.073044534100405123e+00
1.135878311844158084e+01 6.126869184114185352e+00
1.135342550321175459e+01 6.049733455231957713e+00
1.134843989702380007e+01 6.033086221798801496e+00
1.134351223607698600e+01 6.052089168924417173e+00
1.133846492922810256e+01 6.023447592961033159e+00
1.133353560654594183e+01 6.035481432524756329e+00
1.132852174197194906e+01 5.998936561946682566e+00
1.132366388180661154e+01 6.016157159698353851e+00
1.131869730506970662e+01 6.070737728002489675e+00
1.131342519540349478e+01 6.059123195581796573e+00
1.130818650533212377e+01 5.981414211254480584e+00
1.130331492793860271e+01 6.115892125483034292e+00
1.129771288023221665e+01 6.045005314036012045e+00
1.129246580878517570e+01 5.955837369464830999e+00
1.128764212594231964e+01 6.013715156042802157e+00
1.128250550468524160e+01 6.006353159601732550e+00
1.127738033093827497e+01 5.981414211254480584e+00
1.127235595983264105e+01 5.869296913133774218e+00
1.126784300613726408e+01 5.993961427306569334e+00
1.126270615111828022e+01 6.001414877961150474e+00
1.125750404309643571e+01 5.934894195619587975e+00
1.125261209597813838e+01 5.986452005284437661e+00
1.124743532002494462e+01 5.899897353582491455e+00
1.124266410032806540e+01 6.021023349349526654e+00
1.123725101164272466e+01 5.978885764901122002e+00
1.123203361998881533e+01 5.837730447165939474e+00
1.122748088745863981e+01 5.963579343618445883e+00
1.122229237588218353e+01 5.932245187448010881e+00
1.121723810218030692e+01 5.963579343618445883e+00
1.121199603243281828e+01 5.866468056933296538e+00
1.120721518999905619e+01 5.910796644040527070e+00
1.120219309725306367e+01 5.948034989180645660e+00
1.119695365134482401e+01 5.971261839790462211e+00
1.119156250614955894e+01 5.820082930352361572e+00
1.118690442384755279e+01 5.855071922202427004e+00
1.118205749506884672e+01 5.886104031450155816e+00
1.117703306021402376e+01 5.814130531825066228e+00
1.117233475908526685e+01 5.932245187448010881e+00
1.116702088331802578e+01 5.872117789475415961e+00
1.116199115487456162e+01 5.837730447165939474e+00
1.115710729675147839e+01 5.765191102784844368e+00
1.115254365910016965e+01 5.937536205082426299e+00
1.114709444610213751e+01 5.828945617610207464e+00
1.114218057334025147e+01 5.894402834264850455e+00
1.113690750238479232e+01 5.826000107380449933e+00
1.113195782846245230e+01 5.834810737062604780e+00
1.112693940239954848e+01 5.752572638825633078e+00
1.112229478069551725e+01 5.820082930352361572e+00
