Time N0_10 N0_100 N0_1000 N0_10000 N0_100000
0.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+03 1.000000000000000000e+04 1.000000000000000000e+05
1.000000000000000000e+00 1.000000000000000000e+01 9.800000000000000000e+01 9.900000000000000000e+02 9.899000000000000000e+03 9.899100000000000000e+04
2.000000000000000000e+00 9.000000000000000000e+00 9.800000000000000000e+01 9.800000000000000000e+02 9.809000000000000000e+03 9.797600000000000000e+04
3.000000000000000000e+00 9.000000000000000000e+00 9.700000000000000000e+01 9.730000000000000000e+02 9.713000000000000000e+03 9.704500000000000000e+04
4.000000000000000000e+00 9.000000000000000000e+00 9.700000000000000000e+01 9.570000000000000000e+02 9.602000000000000000e+03 9.609100000000000000e+04
5.000000000000000000e+00 9.000000000000000000e+00 9.600000000000000000e+01 9.440000000000000000e+02 9.493000000000000000e+03 9.513000000000000000e+04
6.000000000000000000e+00 9.000000000000000000e+00 9.600000000000000000e+01 9.330000000000000000e+02 9.392000000000000000e+03 9.422900000000000000e+04
7.000000000000000000e+00 9.000000000000000000e+00 9.300000000000000000e+01 9.290000000000000000e+02 9.298000000000000000e+03 9.323400000000000000e+04
8.000000000000000000e+00 9.000000000000000000e+00 9.200000000000000000e+01 9.250000000000000000e+02 9.214000000000000000e+03 9.228800000000000000e+04
9.000000000000000000e+00 9.000000000000000000e+00 9.200000000000000000e+01 9.140000000000000000e+02 9.123000000000000000e+03 9.140900000000000000e+04
1.000000000000000000e+01 9.000000000000000000e+00 9.200000000000000000e+01 9.040000000000000000e+02 9.035000000000000000e+03 9.050200000000000000e+04
1.100000000000000000e+01 9.000000000000000000e+00 9.200000000000000000e+01 8.940000000000000000e+02 8.948000000000000000e+03 8.960900000000000000e+04
1.200000000000000000e+01 9.000000000000000000e+00 8.900000000000000000e+01 8.920000000000000000e+02 8.851000000000000000e+03 8.873600000000000000e+04
1.300000000000000000e+01 9.000000000000000000e+00 8.900000000000000000e+01 8.790000000000000000e+02 8.754000000000000000e+03 8.788600000000000000e+04
1.400000000000000000e+01 9.000000000000000000e+00 8.800000000000000000e+01 8.730000000000000000e+02 8.677000000000000000e+03 8.702400000000000000e+04
1.500000000000000000e+01 9.000000000000000000e+00 8.800000000000000000e+01 8.690000000000000000e+02 8.596000000000000000e+03 8.613900000000000000e+04
1.600000000000000000e+01 9.000000000000000000e+00 8.800000000000000000e+01 8.600000000000000000e+02 8.512000000000000000e+03 8.526500000000000000e+04
1.700000000000000000e+01 9.000000000000000000e+00 8.600000000000000000e+01 8.500000000000000000e+02 8.436000000000000000e+03 8.440300000000000000e+04
1.800000000000000000e+01 9.000000000000000000e+00 8.600000000000000000e+01 8.440000000000000000e+02 8.344000000000000000e+03 8.357100000000000000e+04
1.900000000000000000e+01 9.000000000000000000e+00 8.500000000000000000e+01 8.310000000000000000e+02 8.258000000000000000e+03 8.273900000000000000e+04
2.000000000000000000e+01 9.000000000000000000e+00 8.500000000000000000e+01 8.240000000000000000e+02 8.177000000000000000e+03 8.194500000000000000e+04
2.100000000000000000e+01 9.000000000000000000e+00 8.400000000000000000e+01 8.110000000000000000e+02 8.097000000000000000e+03 8.112200000000000000e+04
2.200000000000000000e+01 9.000000000000000000e+00 8.400000000000000000e+01 8.000000000000000000e+02 8.015000000000000000e+03 8.024500000000000000e+04
2.300000000000000000e+01 9.000000000000000000e+00 8.400000000000000000e+01 7.890000000000000000e+02 7.936000000000000000e+03 7.940200000000000000e+04
2.400000000000000000e+01 9.000000000000000000e+00 8.300000000000000000e+01 7.850000000000000000e+02 7.855000000000000000e+03 7.861100000000000000e+04
2.500000000000000000e+01 8.000000000000000000e+00 8.200000000000000000e+01 7.770000000000000000e+02 7.769000000000000000e+03 7.783300000000000000e+04
2.600000000000000000e+01 8.000000000000000000e+00 8.000000000000000000e+01 7.660000000000000000e+02 7.687000000000000000e+03 7.707000000000000000e+04
2.700000000000000000e+01 8.000000000000000000e+00 7.900000000000000000e+01 7.560000000000000000e+02 7.625000000000000000e+03 7.629100000000000000e+04
2.800000000000000000e+01 8.000000000000000000e+00 7.800000000000000000e+01 7.490000000000000000e+02 7.543000000000000000e+03 7.554300000000000000e+04
2.900000000000000000e+01 7.000000000000000000e+00 7.700000000000000000e+01 7.430000000000000000e+02 7.462000000000000000e+03 7.473800000000000000e+04
3.000000000000000000e+01 7.000000000000000000e+00 7.600000000000000000e+01 7.350000000000000000e+02 7.384000000000000000e+03 7.396400000000000000e+04
3.100000000000000000e+01 7.000000000000000000e+00 7.600000000000000000e+01 7.310000000000000000e+02 7.295000000000000000e+03 7.319500000000000000e+04
3.200000000000000000e+01 7.000000000000000000e+00 7.500000000000000000e+01 7.200000000000000000e+02 7.209000000000000000e+03 7.249400000000000000e+04
