Thoi_gian N_t Toc_do
0.000000000000000000e+00 1.000000000000000000e+05 4.850000000000000000e+02
1.000000000000000000e+00 9.951500000000000000e+04 4.980000000000000000e+02
2.000000000000000000e+00 9.901700000000000000e+04 4.600000000000000000e+02
3.000000000000000000e+00 9.855700000000000000e+04 4.600000000000000000e+02
4.000000000000000000e+00 9.809700000000000000e+04 5.000000000000000000e+02
5.000000000000000000e+00 9.759700000000000000e+04 5.180000000000000000e+02
6.000000000000000000e+00 9.707900000000000000e+04 4.620000000000000000e+02
7.000000000000000000e+00 9.661700000000000000e+04 4.730000000000000000e+02
8.000000000000000000e+00 9.614400000000000000e+04 4.650000000000000000e+02
9.000000000000000000e+00 9.567900000000000000e+04 4.890000000000000000e+02
1.000000000000000000e+01 9.519000000000000000e+04 4.450000000000000000e+02
1.100000000000000000e+01 9.474500000000000000e+04 4.550000000000000000e+02
1.200000000000000000e+01 9.429000000000000000e+04 4.800000000000000000e+02
1.300000000000000000e+01 9.381000000000000000e+04 4.700000000000000000e+02
1.400000000000000000e+01 9.334000000000000000e+04 4.790000000000000000e+02
1.500000000000000000e+01 9.286100000000000000e+04 4.820000000000000000e+02
1.600000000000000000e+01 9.237900000000000000e+04 4.560000000000000000e+02
1.700000000000000000e+01 9.192300000000000000e+04 4.760000000000000000e+02
1.800000000000000000e+01 9.144700000000000000e+04 4.350000000000000000e+02
1.900000000000000000e+01 9.101200000000000000e+04 4.590000000000000000e+02
2.000000000000000000e+01 9.055300000000000000e+04 4.870000000000000000e+02
2.100000000000000000e+01 9.006600000000000000e+04 4.710000000000000000e+02
2.200000000000000000e+01 8.959500000000000000e+04 4.450000000000000000e+02
2.300000000000000000e+01 8.915000000000000000e+04 4.480000000000000000e+02
2.400000000000000000e+01 8.870200000000000000e+04 4.930000000000000000e+02
2.500000000000000000e+01 8.820900000000000000e+04 4.390000000000000000e+02
2.600000000000000000e+01 8.777000000000000000e+04 4.290000000000000000e+02
2.700000000000000000e+01 8.734100000000000000e+04 4.070000000000000000e+02
2.800000000000000000e+01 8.693400000000000000e+04 4.400000000000000000e+02
2.900000000000000000e+01 8.649400000000000000e+04 4.440000000000000000e+02
