lnN lnDN
1.151292546497022862e+01 6.161207321695076899e+00
1.150817419554474164e+01 6.177944114050600177e+00
1.150331947482499295e+01 6.232448016550522496e+00
1.149816709399468273e+01 6.163314804034641270e+00
1.149333481520522504e+01 6.148468295917647097e+00
1.148855080182857336e+01 6.129050210060545290e+00
1.148383645236025252e+01 6.251903883165888409e+00
1.147847893723586132e+01 6.224558429275360183e+00
1.147323824301863660e+01 6.192362489474872334e+00
1.146813728218009487e+01 6.144185634125645556e+00
1.146325191072665639e+01 6.113682179832231611e+00
1.145849039827534099e+01 6.190315405853147546e+00
1.145332406947913917e+01 6.175867270105761087e+00
1.144820559405644644e+01 6.163314804034641270e+00
1.144312512471095289e+01 6.118097198041348328e+00
1.143824502129364085e+01 6.037870919922137425e+00
1.143371990678925343e+01 6.063785208687607842e+00
1.142905460593308220e+01 6.137727054086234091e+00
1.142400681574724963e+01 6.163314804034641270e+00
1.141880158123838918e+01 6.047372179046277552e+00
1.141414326467252494e+01 6.079933195095589937e+00
1.140930787398082380e+01 6.073044534100405123e+00
1.140448242543580548e+01 6.104793232414984949e+00
1.139947677246264846e+01 6.111467339502678620e+00
1.139441216273410085e+01 6.124683390894205104e+00
1.138925387576334103e+01 6.049733455231957713e+00
1.138444415632167761e+01 5.961005339623273613e+00
1.138002244630600046e+01 6.016157159698353851e+00
1.137532867695578176e+01 6.104793232414984949e+00
1.137017456009384375e+01 6.006353159601732550e+00
1.136548058426357244e+01 6.003887067106538744e+00
1.136077611448008362e+01 6.133398042996648591e+00
1.135539407698349201e+01 6.040254711277413868e+00
1.135046535727182970e+01 6.030685260261263281e+00
1.134555951349984682e+01 6.061456918928016968e+00
1.134047502797153761e+01 6.033086221798801496e+00
1.133550786410458322e+01 6.011267174404161473e+00
1.133062390797627650e+01 6.040254711277413868e+00
1.132557126564819860e+01 5.978885764901122002e+00
1.132079596718518744e+01 6.052089168924417173e+00
1.131563239224612794e+01 5.986452005284437661e+00
1.131077256046766699e+01 6.042632833682381133e+00
1.130560604900290400e+01 6.040254711277413868e+00
1.130042507375449823e+01 5.908082938168931264e+00
1.129586338397188605e+01 5.963579343618445883e+00
1.129101864858401250e+01 5.981414211254480584e+00
1.128606250522422449e+01 6.045005314036012045e+00
1.128075378244601445e+01 5.924255797414532232e+00
1.127602522279719466e+01 6.028278520230697879e+00
1.127075198774921283e+01 5.973809611869261182e+00
1.126573253164849220e+01 6.042632833682381133e+00
1.126032735598082013e+01 6.008813185442594573e+00
1.125507400247712120e+01 5.948034989180645660e+00
1.125010509650311974e+01 6.030685260261263281e+00
1.124467993974359814e+01 5.874930730852030436e+00
1.124001377142189817e+01 6.023447592961033159e+00
1.123457306875917894e+01 5.910796644040527070e+00
1.122968683910467824e+01 5.955837369464830999e+00
1.122454981871840296e+01 5.948034989180645660e+00
1.121942650719688217e+01 5.945420608606575286e+00
1.121429029239351927e+01 5.924255797414532232e+00
1.120923595437263032e+01 5.953243334287784627e+00
1.120400613663461442e+01 5.837730447165939474e+00
