Time N0_10 N0_100 N0_1000 N0_10000 N0_100000
0.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+03 1.000000000000000000e+04 1.000000000000000000e+05
1.000000000000000000e+00 1.000000000000000000e+01 9.800000000000000000e+01 9.860000000000000000e+02 9.898000000000000000e+03 9.900200000000000000e+04
2.000000000000000000e+00 1.000000000000000000e+01 9.800000000000000000e+01 9.770000000000000000e+02 9.795000000000000000e+03 9.802400000000000000e+04
3.000000000000000000e+00 1.000000000000000000e+01 9.700000000000000000e+01 9.660000000000000000e+02 9.707000000000000000e+03 9.706300000000000000e+04
4.000000000000000000e+00 1.000000000000000000e+01 9.700000000000000000e+01 9.540000000000000000e+02 9.614000000000000000e+03 9.610400000000000000e+04
5.000000000000000000e+00 9.000000000000000000e+00 9.500000000000000000e+01 9.440000000000000000e+02 9.515000000000000000e+03 9.508500000000000000e+04
6.000000000000000000e+00 9.000000000000000000e+00 9.500000000000000000e+01 9.340000000000000000e+02 9.400000000000000000e+03 9.420100000000000000e+04
7.000000000000000000e+00 9.000000000000000000e+00 9.500000000000000000e+01 9.280000000000000000e+02 9.323000000000000000e+03 9.324100000000000000e+04
8.000000000000000000e+00 9.000000000000000000e+00 9.400000000000000000e+01 9.230000000000000000e+02 9.226000000000000000e+03 9.235300000000000000e+04
9.000000000000000000e+00 9.000000000000000000e+00 9.300000000000000000e+01 9.200000000000000000e+02 9.141000000000000000e+03 9.144900000000000000e+04
1.000000000000000000e+01 9.000000000000000000e+00 8.900000000000000000e+01 9.120000000000000000e+02 9.041000000000000000e+03 9.054400000000000000e+04
1.100000000000000000e+01 9.000000000000000000e+00 8.900000000000000000e+01 8.980000000000000000e+02 8.960000000000000000e+03 8.968600000000000000e+04
1.200000000000000000e+01 9.000000000000000000e+00 8.600000000000000000e+01 8.930000000000000000e+02 8.865000000000000000e+03 8.876300000000000000e+04
1.300000000000000000e+01 9.000000000000000000e+00 8.100000000000000000e+01 8.870000000000000000e+02 8.783000000000000000e+03 8.788300000000000000e+04
1.400000000000000000e+01 9.000000000000000000e+00 8.000000000000000000e+01 8.770000000000000000e+02 8.699000000000000000e+03 8.703700000000000000e+04
1.500000000000000000e+01 9.000000000000000000e+00 7.900000000000000000e+01 8.700000000000000000e+02 8.601000000000000000e+03 8.616200000000000000e+04
1.600000000000000000e+01 9.000000000000000000e+00 7.700000000000000000e+01 8.540000000000000000e+02 8.520000000000000000e+03 8.529000000000000000e+04
1.700000000000000000e+01 9.000000000000000000e+00 7.700000000000000000e+01 8.440000000000000000e+02 8.446000000000000000e+03 8.446800000000000000e+04
1.800000000000000000e+01 9.000000000000000000e+00 7.600000000000000000e+01 8.340000000000000000e+02 8.374000000000000000e+03 8.358800000000000000e+04
1.900000000000000000e+01 9.000000000000000000e+00 7.600000000000000000e+01 8.260000000000000000e+02 8.268000000000000000e+03 8.273500000000000000e+04
2.000000000000000000e+01 9.000000000000000000e+00 7.600000000000000000e+01 8.170000000000000000e+02 8.195000000000000000e+03 8.194200000000000000e+04
2.100000000000000000e+01 9.000000000000000000e+00 7.600000000000000000e+01 8.080000000000000000e+02 8.115000000000000000e+03 8.111200000000000000e+04
2.200000000000000000e+01 9.000000000000000000e+00 7.500000000000000000e+01 7.990000000000000000e+02 8.030000000000000000e+03 8.028800000000000000e+04
2.300000000000000000e+01 9.000000000000000000e+00 7.500000000000000000e+01 7.920000000000000000e+02 7.944000000000000000e+03 7.954900000000000000e+04
2.400000000000000000e+01 9.000000000000000000e+00 7.400000000000000000e+01 7.860000000000000000e+02 7.881000000000000000e+03 7.874100000000000000e+04
2.500000000000000000e+01 9.000000000000000000e+00 7.300000000000000000e+01 7.810000000000000000e+02 7.798000000000000000e+03 7.794600000000000000e+04
2.600000000000000000e+01 9.000000000000000000e+00 7.200000000000000000e+01 7.740000000000000000e+02 7.714000000000000000e+03 7.716300000000000000e+04
2.700000000000000000e+01 9.000000000000000000e+00 7.100000000000000000e+01 7.730000000000000000e+02 7.623000000000000000e+03 7.643400000000000000e+04
2.800000000000000000e+01 9.000000000000000000e+00 7.100000000000000000e+01 7.670000000000000000e+02 7.551000000000000000e+03 7.565600000000000000e+04
2.900000000000000000e+01 9.000000000000000000e+00 7.100000000000000000e+01 7.640000000000000000e+02 7.474000000000000000e+03 7.486700000000000000e+04
3.000000000000000000e+01 9.000000000000000000e+00 7.000000000000000000e+01 7.570000000000000000e+02 7.387000000000000000e+03 7.412900000000000000e+04
3.100000000000000000e+01 9.000000000000000000e+00 6.900000000000000000e+01 7.520000000000000000e+02 7.307000000000000000e+03 7.338100000000000000e+04
3.200000000000000000e+01 9.000000000000000000e+00 6.700000000000000000e+01 7.430000000000000000e+02 7.230000000000000000e+03 7.265200000000000000e+04
3.300000000000000000e+01 9.000000000000000000e+00 6.600000000000000000e+01 7.370000000000000000e+02 7.157000000000000000e+03 7.187900000000000000e+04
3.400000000000000000e+01 9.000000000000000000e+00 6.600000000000000000e+01 7.310000000000000000e+02 7.075000000000000000e+03 7.116400000000000000e+04
3.500000000000000000e+01 9.000000000000000000e+00 6.500000000000000000e+01 7.290000000000000000e+02 7.009000000000000000e+03 7.046300000000000000e+04
3.600000000000000000e+01 9.000000000000000000e+00 6.500000000000000000e+01 7.240000000000000000e+02 6.940000000000000000e+03 6.975700000000000000e+04
3.700000000000000000e+01 9.000000000000000000e+00 6.500000000000000000e+01 7.170000000000000000e+02 6.868000000000000000e+03 6.903700000000000000e+04
3.800000000000000000e+01 9.000000000000000000e+00 6.500000000000000000e+01 7.100000000000000000e+02 6.795000000000000000e+03 6.839900000000000000e+04
3.900000000000000000e+01 9.000000000000000000e+00 6.500000000000000000e+01 7.030000000000000000e+02 6.742000000000000000e+03 6.772900000000000000e+04
4.000000000000000000e+01 9.000000000000000000e+00 6.500000000000000000e+01 6.960000000000000000e+02 6.664000000000000000e+03 6.708100000000000000e+04
4.100000000000000000e+01 9.000000000000000000e+00 6.300000000000000000e+01 6.830000000000000000e+02 6.597000000000000000e+03 6.639100000000000000e+04
4.200000000000000000e+01 9.000000000000000000e+00 6.200000000000000000e+01 6.730000000000000000e+02 6.533000000000000000e+03 6.574100000000000000e+04
4.300000000000000000e+01 9.000000000000000000e+00 6.200000000000000000e+01 6.640000000000000000e+02 6.483000000000000000e+03 6.508700000000000000e+04
4.400000000000000000e+01 9.000000000000000000e+00 6.100000000000000000e+01 6.560000000000000000e+02 6.425000000000000000e+03 6.443900000000000000e+04
4.500000000000000000e+01 9.000000000000000000e+00 6.100000000000000000e+01 6.440000000000000000e+02 6.370000000000000000e+03 6.381700000000000000e+04
4.600000000000000000e+01 9.000000000000000000e+00 6.100000000000000000e+01 6.380000000000000000e+02 6.296000000000000000e+03 6.315100000000000000e+04
