Thoi_gian N_t Toc_do
0.000000000000000000e+00 1.000000000000000000e+05 4.970000000000000000e+02
1.000000000000000000e+00 9.950300000000000000e+04 4.920000000000000000e+02
2.000000000000000000e+00 9.901100000000000000e+04 5.040000000000000000e+02
3.000000000000000000e+00 9.850700000000000000e+04 4.690000000000000000e+02
4.000000000000000000e+00 9.803800000000000000e+04 5.090000000000000000e+02
5.000000000000000000e+00 9.752900000000000000e+04 4.970000000000000000e+02
6.000000000000000000e+00 9.703200000000000000e+04 4.810000000000000000e+02
7.000000000000000000e+00 9.655100000000000000e+04 4.740000000000000000e+02
8.000000000000000000e+00 9.607700000000000000e+04 4.280000000000000000e+02
9.000000000000000000e+00 9.564900000000000000e+04 4.900000000000000000e+02
1.000000000000000000e+01 9.515900000000000000e+04 4.910000000000000000e+02
1.100000000000000000e+01 9.466800000000000000e+04 4.500000000000000000e+02
1.200000000000000000e+01 9.421800000000000000e+04 4.430000000000000000e+02
1.300000000000000000e+01 9.377500000000000000e+04 4.810000000000000000e+02
1.400000000000000000e+01 9.329400000000000000e+04 4.600000000000000000e+02
1.500000000000000000e+01 9.283400000000000000e+04 4.650000000000000000e+02
1.600000000000000000e+01 9.236900000000000000e+04 4.380000000000000000e+02
1.700000000000000000e+01 9.193100000000000000e+04 4.530000000000000000e+02
1.800000000000000000e+01 9.147800000000000000e+04 4.790000000000000000e+02
1.900000000000000000e+01 9.099900000000000000e+04 5.120000000000000000e+02
2.000000000000000000e+01 9.048700000000000000e+04 4.460000000000000000e+02
2.100000000000000000e+01 9.004100000000000000e+04 4.670000000000000000e+02
2.200000000000000000e+01 8.957400000000000000e+04 4.590000000000000000e+02
2.300000000000000000e+01 8.911500000000000000e+04 4.400000000000000000e+02
2.400000000000000000e+01 8.867500000000000000e+04 4.290000000000000000e+02
2.500000000000000000e+01 8.824600000000000000e+04 4.480000000000000000e+02
2.600000000000000000e+01 8.779800000000000000e+04 4.390000000000000000e+02
2.700000000000000000e+01 8.735900000000000000e+04 4.400000000000000000e+02
2.800000000000000000e+01 8.691900000000000000e+04 4.170000000000000000e+02
2.900000000000000000e+01 8.650200000000000000e+04 5.020000000000000000e+02
3.000000000000000000e+01 8.600000000000000000e+04 4.280000000000000000e+02
3.100000000000000000e+01 8.557200000000000000e+04 4.370000000000000000e+02
3.200000000000000000e+01 8.513500000000000000e+04 4.190000000000000000e+02
3.300000000000000000e+01 8.471600000000000000e+04 4.280000000000000000e+02
3.400000000000000000e+01 8.428800000000000000e+04 4.150000000000000000e+02
3.500000000000000000e+01 8.387300000000000000e+04 4.540000000000000000e+02
3.600000000000000000e+01 8.341900000000000000e+04 3.620000000000000000e+02
3.700000000000000000e+01 8.305700000000000000e+04 3.710000000000000000e+02
3.800000000000000000e+01 8.268600000000000000e+04 4.050000000000000000e+02
3.900000000000000000e+01 8.228100000000000000e+04 4.210000000000000000e+02
4.000000000000000000e+01 8.186000000000000000e+04 3.730000000000000000e+02
4.100000000000000000e+01 8.148700000000000000e+04 3.790000000000000000e+02
4.200000000000000000e+01 8.110800000000000000e+04 3.630000000000000000e+02
4.300000000000000000e+01 8.074500000000000000e+04 3.770000000000000000e+02
4.400000000000000000e+01 8.036800000000000000e+04 4.110000000000000000e+02
4.500000000000000000e+01 7.995700000000000000e+04 3.800000000000000000e+02
4.600000000000000000e+01 7.957700000000000000e+04 4.270000000000000000e+02
4.700000000000000000e+01 7.915000000000000000e+04 4.110000000000000000e+02
4.800000000000000000e+01 7.873900000000000000e+04 3.920000000000000000e+02
4.900000000000000000e+01 7.834700000000000000e+04 3.950000000000000000e+02
5.000000000000000000e+01 7.795200000000000000e+04 3.980000000000000000e+02
5.100000000000000000e+01 7.755400000000000000e+04 3.770000000000000000e+02
5.200000000000000000e+01 7.717700000000000000e+04 3.730000000000000000e+02
5.300000000000000000e+01 7.680400000000000000e+04 3.810000000000000000e+02
5.400000000000000000e+01 7.642300000000000000e+04 3.440000000000000000e+02
5.500000000000000000e+01 7.607900000000000000e+04 3.440000000000000000e+02
5.600000000000000000e+01 7.573500000000000000e+04 3.490000000000000000e+02
5.700000000000000000e+01 7.538600000000000000e+04 3.790000000000000000e+02
5.800000000000000000e+01 7.500700000000000000e+04 3.780000000000000000e+02
5.900000000000000000e+01 7.462900000000000000e+04 3.870000000000000000e+02
6.000000000000000000e+01 7.424200000000000000e+04 3.390000000000000000e+02
6.100000000000000000e+01 7.390300000000000000e+04 3.850000000000000000e+02
6.200000000000000000e+01 7.351800000000000000e+04 3.860000000000000000e+02
6.300000000000000000e+01 7.313200000000000000e+04 3.510000000000000000e+02
6.400000000000000000e+01 7.278100000000000000e+04 3.240000000000000000e+02
6.500000000000000000e+01 7.245700000000000000e+04 3.350000000000000000e+02
6.600000000000000000e+01 7.212200000000000000e+04 3.990000000000000000e+02
6.700000000000000000e+01 7.172300000000000000e+04 3.310000000000000000e+02
6.800000000000000000e+01 7.139200000000000000e+04 3.940000000000000000e+02
6.900000000000000000e+01 7.099800000000000000e+04 3.800000000000000000e+02
7.000000000000000000e+01 7.061800000000000000e+04 3.570000000000000000e+02
7.100000000000000000e+01 7.026100000000000000e+04 3.210000000000000000e+02
7.200000000000000000e+01 6.994000000000000000e+04 3.370000000000000000e+02
7.300000000000000000e+01 6.960300000000000000e+04 3.560000000000000000e+02
7.400000000000000000e+01 6.924700000000000000e+04 3.720000000000000000e+02
7.500000000000000000e+01 6.887500000000000000e+04 3.520000000000000000e+02
7.600000000000000000e+01 6.852300000000000000e+04 3.450000000000000000e+02
7.700000000000000000e+01 6.817800000000000000e+04 3.330000000000000000e+02
7.800000000000000000e+01 6.784500000000000000e+04 3.140000000000000000e+02
7.900000000000000000e+01 6.753100000000000000e+04 3.280000000000000000e+02
8.000000000000000000e+01 6.720300000000000000e+04 3.260000000000000000e+02
8.100000000000000000e+01 6.687700000000000000e+04 3.150000000000000000e+02
8.200000000000000000e+01 6.656200000000000000e+04 3.420000000000000000e+02
8.300000000000000000e+01 6.622000000000000000e+04 3.330000000000000000e+02
8.400000000000000000e+01 6.588700000000000000e+04 3.060000000000000000e+02
8.500000000000000000e+01 6.558100000000000000e+04 3.310000000000000000e+02
8.600000000000000000e+01 6.525000000000000000e+04 3.140000000000000000e+02
8.700000000000000000e+01 6.493600000000000000e+04 3.060000000000000000e+02
8.800000000000000000e+01 6.463000000000000000e+04 3.320000000000000000e+02
8.900000000000000000e+01 6.429800000000000000e+04 3.260000000000000000e+02
9.000000000000000000e+01 6.397200000000000000e+04 3.110000000000000000e+02
9.100000000000000000e+01 6.366100000000000000e+04 3.200000000000000000e+02
9.200000000000000000e+01 6.334100000000000000e+04 3.230000000000000000e+02
9.300000000000000000e+01 6.301800000000000000e+04 3.090000000000000000e+02
9.400000000000000000e+01 6.270900000000000000e+04 3.370000000000000000e+02
9.500000000000000000e+01 6.237200000000000000e+04 3.150000000000000000e+02
