# sqrtN R
0.000000000000000000e+00 0.000000000000000000e+00
3.014962686336266984e+01 2.976811782640921322e+01
4.263801121065568367e+01 4.450173122324746799e+01
5.222068555658763245e+01 5.451710025455117403e+01
6.029925372672533967e+01 6.400921879802312731e+01
6.741661516273269683e+01 6.985091657157774137e+01
7.385120175054701974e+01 7.441848580019016879e+01
7.976841480184998545e+01 7.667792584617943419e+01
8.527602242131136734e+01 8.220674991025195766e+01
9.044888059008800951e+01 8.921352316489193868e+01
9.534149149242422538e+01 9.388487884894628621e+01
1.000000000000000000e+02 1.030568930827563747e+02
1.044461583783721608e+02 1.046325748639142716e+02
1.087106250556954592e+02 1.085154462659814243e+02
1.128140062226317752e+02 1.131755302315040552e+02
1.167732846159599944e+02 1.122322295469189442e+02
1.206026533704793735e+02 1.120844490467026731e+02
1.243141182649822696e+02 1.298552442894466878e+02
1.279179424474924929e+02 1.185304197894802911e+02
1.314229812475732899e+02 1.314817337450615753e+02
1.348369385591352057e+02 1.349222703100810747e+02
1.381665661439119788e+02 1.337974643070854484e+02
1.414213562373095101e+02 1.448333927013054563e+02
1.445994467485958239e+02 1.436968021750398634e+02
1.477091737164621748e+02 1.471830203746842756e+02
1.507547677521344553e+02 1.491964846932722821e+02
1.537400403278209069e+02 1.529280401504558426e+02
1.566684397062790595e+02 1.591397037736848006e+02
1.595430976256886026e+02 1.549089177264099817e+02
1.623668685415839263e+02 1.693391713660012101e+02
1.651423628267441188e+02 1.585660279364700500e+02
1.678719750285913506e+02 1.701628330320492637e+02
1.705579080547131809e+02 1.615332864123011802e+02
1.732050807568877246e+02 1.719349166458483182e+02
1.758095560542714111e+02 1.857663698207965695e+02
1.783760073552494418e+02 1.692187569893031025e+02
1.809060529667263495e+02 1.885234206536640329e+02
1.834011995598720262e+02 1.803493364847746534e+02
1.858628526629245528e+02 1.841390996721424358e+02
1.882923259190347380e+02 1.918450962066447971e+02
1.906908492822872745e+02 1.819061648396548776e+02
1.930595762970591522e+02 1.861230927240604274e+02
1.953995905829897026e+02 1.911993244080626084e+02
1.977119116290164129e+02 2.062269459271048788e+02
2.000000000000000000e+02 1.982771153656152592e+02
2.022597340055602899e+02 2.005551253231768101e+02
2.044944987035103452e+02 2.069042466977955996e+02
2.067051039524665441e+02 2.033340819991512660e+02
2.088923167567443215e+02 2.050224993128287281e+02
2.110568643754568825e+02 2.047233307886789930e+02
2.131994371474746686e+02 2.234939329707681281e+02
2.153206910633532232e+02 2.199392034933833031e+02
2.174212501113909184e+02 2.165320153523524027e+02
2.195017084215974705e+02 2.126500661327880550e+02
2.215626322284513776e+02 2.238548187688735993e+02
2.236067977499789663e+02 2.292476767838279841e+02
2.256302284712755295e+02 2.142521040024549848e+02
2.276356738299162146e+02 2.352976052705928680e+02
2.296236050583650297e+02 2.340704315611311017e+02
2.315944731637609664e+02 2.336085629347153372e+02
2.335487101227493270e+02 2.262652147289859954e+02
2.354867299870631712e+02 2.375825462613144907e+02
2.374089299078701458e+02 2.331324242664964004e+02
2.393156910860631399e+02 2.377196805907408361e+02
2.412073796549350959e+02 2.374942582624616989e+02
2.430843475010268833e+02 2.368317477921364969e+02
2.449489742783178201e+02 2.434066726982429714e+02
2.467974878316227887e+02 2.507333904775709925e+02
2.486322585667435021e+02 2.446507167662936979e+02
2.504535885149182661e+02 2.459774604203921342e+02
2.522617688037566950e+02 2.541746083104926299e+02
2.540570802004935160e+02 2.632602437544225609e+02
2.558397936209298962e+02 2.486961389113893972e+02
2.576101706066746146e+02 2.690114839739623562e+02
2.593684637730655140e+02 2.609130571630921054e+02
2.611149172299430461e+02 2.544783844161734692e+02
2.628497669772602308e+02 2.801099971978003396e+02
2.645751311064590823e+02 2.720104320721042086e+02
2.662874386823381769e+02 2.633718026731418718e+02
2.679888057363590974e+02 2.717561233272559775e+02
2.696794393349259167e+02 2.769221779257671869e+02
2.713595400939498745e+02 2.653981587441557508e+02
2.730293024567143334e+02 2.732665978028152836e+02
2.746889149565377011e+02 2.714865844288708558e+02
2.763385604652380039e+02 2.712608411915414308e+02
2.779784164283263408e+02 2.656185943607801505e+02
2.796086550877851664e+02 2.773910576545512754e+02
2.812294436932235726e+02 2.679109247103550047e+02
2.828427124746190202e+02 2.799845589125891934e+02
2.844450737840260217e+02 2.825132676427597289e+02
2.860384589526380523e+02 2.916768835455870317e+02
2.876230171596146761e+02 2.849568387877919804e+02
2.891988934971916478e+02 2.960683951797935265e+02
2.907662291257360039e+02 2.942808041127539695e+02
2.923251614213186258e+02 3.014894820580229862e+02
2.938758241162412901e+02 2.991376301687260479e+02
2.954183474329243495e+02 2.971720772556644761e+02
2.969528582115349877e+02 2.884864908244171602e+02
2.984794800317100680e+02 3.091469882829605353e+02
3.000000000000000000e+02 3.001964091864552415e+02
